"value","count","cumsum","pct"
"growing",10287,22743472,48.53
"biggest",10285,22753757,48.56
"trust",10284,22764041,48.58
"romney",10265,22774306,48.6
"clean",10247,22784553,48.62
"gives",10245,22794798,48.64
"cheese",10230,22805028,48.67
"shop",10229,22815257,48.69
"quick",10226,22825483,48.71
"fair",10222,22835705,48.73
"size",10219,22845924,48.75
"allow",10216,22856140,48.78
"places",10209,22866349,48.8
"lord",10185,22876534,48.82
"attorney",10166,22886700,48.84
"catch",10166,22896866,48.86
"photos",10160,22907026,48.88
"fell",10159,22917185,48.91
"radio",10142,22927327,48.93
"happens",10139,22937466,48.95
"cream",10125,22947591,48.97
"review",10121,22957712,48.99
"amount",10119,22967831,49.01
"blood",10116,22977947,49.04
"title",10110,22988057,49.06
"interview",10099,22998156,49.08
"build",10089,23008245,49.1
"leaving",10088,23018333,49.12
"certainly",10075,23028408,49.14
"senior",10069,23038477,49.16
"tweets",10065,23048542,49.19
"sale",10063,23058605,49.21
"scene",10063,23068668,49.23
"smith",10054,23078722,49.25
"library",10046,23088768,49.27
"rose",10036,23098804,49.29
"version",10034,23108838,49.31
"passed",9989,23118827,49.34
"contact",9988,23128815,49.36
"executive",9965,23138780,49.38
"property",9964,23148744,49.4
"union",9945,23158689,49.42
"present",9934,23168623,49.44
"lady",9932,23178555,49.46
"mike",9912,23188467,49.48
"ended",9909,23198376,49.51
"hurt",9893,23208269,49.53
"river",9886,23218155,49.55
"situation",9878,23228033,49.57
"hearing",9864,23237897,49.59
"seemed",9856,23247753,49.61
"credit",9855,23257608,49.63
"natural",9850,23267458,49.65
"named",9846,23277304,49.67
"employees",9805,23287109,49.69
"songs",9805,23296914,49.72
"garden",9776,23306690,49.74
"consider",9767,23316457,49.76
"everybody",9763,23326220,49.78
"teacher",9759,23335979,49.8
"increase",9748,23345727,49.82
"winter",9735,23355462,49.84
"mention",9701,23365163,49.86
"sort",9693,23374856,49.88
"mix",9654,23384510,49.9
"sold",9652,23394162,49.92
"ride",9648,23403810,49.94
"planning",9645,23413455,49.96
"choose",9634,23423089,49.99
"truly",9629,23432718,50.01
"wearing",9616,23442334,50.03
"common",9584,23451918,50.05
"reported",9575,23461493,50.07
"thoughts",9552,23471045,50.09
"tough",9548,23480593,50.11
"worst",9545,23490138,50.13
"link",9521,23499659,50.15
"texas",9505,23509164,50.17
"dude",9504,23518668,50.19
"warm",9487,23528155,50.21
"regular",9486,23537641,50.23
"value",9485,23547126,50.25
"absolutely",9480,23556606,50.27
"gas",9476,23566082,50.29
"result",9468,23575550,50.31
"computer",9439,23584989,50.33
"putting",9435,23594424,50.35
"taste",9433,23603857,50.37
"projects",9420,23613277,50.39
"committee",9417,23622694,50.41
"lovely",9417,23632111,50.43
"effort",9416,23641527,50.45
"sat",9409,23650936,50.47
"potential",9402,23660338,50.49
"ran",9395,23669733,50.51
"asking",9380,23679113,50.53
"safety",9379,23688492,50.55
"results",9374,23697866,50.57
"central",9360,23707226,50.59
"society",9355,23716581,50.61
"rules",9353,23725934,50.63
"block",9337,23735271,50.65
"cake",9322,23744593,50.67
"missing",9278,23753871,50.69
"products",9268,23763139,50.71
"built",9267,23772406,50.73
"grow",9263,23781669,50.75
"fourth",9259,23790928,50.77
"article",9251,23800179,50.79
"touch",9240,23809419,50.81
"travel",9236,23818655,50.83
"google",9222,23827877,50.85
"agency",9205,23837082,50.87
"fit",9204,23846286,50.89
"enjoyed",9200,23855486,50.91
"telling",9185,23864671,50.93
