"","value","count","cumsum","pct"
"577","lovely",5704,25531987,77.64
"578","cold",5701,25537688,77.66
"579","break",5691,25543379,77.67
"580","exactly",5687,25549066,77.69
"581","image",5669,25554735,77.71
"582","continue",5664,25560399,77.72
"583","table",5662,25566061,77.74
"584","service",5655,25571716,77.76
"585","seeing",5630,25577346,77.78
"586","recipe",5628,25582974,77.79
"587","fine",5599,25588573,77.81
"588","daughter",5586,25594159,77.83
"589","low",5586,25599745,77.84
"590","truth",5577,25605322,77.86
"591","event",5568,25610890,77.88
"592","further",5568,25616458,77.89
"593","oil",5558,25622016,77.91
"594","spend",5543,25627559,77.93
"595","meet",5534,25633093,77.95
"596","answer",5529,25638622,77.96
"597","act",5513,25644135,77.98
"598","photo",5511,25649646,78
"599","according",5510,25655156,78.01
"600","waiting",5497,25660653,78.03
"601","pick",5481,25666134,78.05
"602","spring",5465,25671599,78.06
"603","quickly",5459,25677058,78.08
"604","cup",5436,25682494,78.1
"605","main",5436,25687930,78.11
"606","stand",5433,25693363,78.13
"607","issue",5428,25698791,78.14
"608","building",5427,25704218,78.16
"609","view",5411,25709629,78.18
"610","difficult",5408,25715037,78.19
"611","excited",5400,25720437,78.21
"612","general",5396,25725833,78.23
"613","birthday",5374,25731207,78.24
"614","bought",5371,25736578,78.26
"615","york",5357,25741935,78.28
"616","certainly",5356,25747291,78.29
"617","u",5355,25752646,78.31
"618","attention",5338,25757984,78.32
"619","action",5322,25763306,78.34
"620","video",5311,25768617,78.36
"621","eye",5299,25773916,78.37
"622","voice",5293,25779209,78.39
"623","type",5284,25784493,78.41
"624","kept",5268,25789761,78.42
"625","truly",5260,25795021,78.44
"626","wife",5252,25800273,78.45
"627","choice",5249,25805522,78.47
"628","political",5247,25810769,78.49
"629","met",5244,25816013,78.5
"630","energy",5240,25821253,78.52
"631","learned",5231,25826484,78.53
"632","deep",5211,25831695,78.55
"633","sit",5211,25836906,78.56
"634","chocolate",5204,25842110,78.58
"635","original",5180,25847290,78.6
"636","sugar",5180,25852470,78.61
"637","third",5177,25857647,78.63
"638","among",5173,25862820,78.64
"639","x",5157,25867977,78.66
"640","complete",5139,25873116,78.68
"641","present",5130,25878246,78.69
"642","sleep",5114,25883360,78.71
"643","president",5105,25888465,78.72
"644","author",5089,25893554,78.74
"645","wonder",5085,25898639,78.75
"646","mine",5084,25903723,78.77
"647","cake",5067,25908790,78.78
"648","novel",5065,25913855,78.8
"649","finished",5052,25918907,78.81
"650","win",5051,25923958,78.83
"651","likely",5042,25929000,78.84
"652","choose",5038,25934038,78.86
"653","cream",5033,25939071,78.88
"654","final",5030,25944101,78.89
"655","park",5028,25949129,78.91
"656","sun",5021,25954150,78.92
"657","six",5016,25959166,78.94
"658","p",5015,25964181,78.95
"659","fresh",5000,25969181,78.97
"660","site",4991,25974172,78.98
"661","super",4981,25979153,79
"662","particular",4979,25984132,79.01
"663","ground",4962,25989094,79.03
"664","onto",4957,25994051,79.04
"665","dad",4956,25999007,79.06
"666","crazy",4949,26003956,79.07
"667","band",4944,26008900,79.09
"668","miss",4933,26013833,79.1
"669","tomorrow",4933,26018766,79.12
"670","starting",4930,26023696,79.13
"671","nature",4920,26028616,79.15
"672","relationship",4920,26033536,79.16
"673","wrote",4916,26038452,79.18
"674","major",4915,26043367,79.19
"675","dog",4907,26048274,79.21
"676","pain",4904,26053178,79.22
"677","beginning",4898,26058076,79.24
"678","busy",4898,26062974,79.25
"679","society",4887,26067861,79.27
"680","heat",4875,26072736,79.28
"681","sitting",4853,26077589,79.3
"682","extra",4841,26082430,79.31
"683","college",4839,26087269,79.33
"684","despite",4836,26092105,79.34
"685","brown",4827,26096932,79.36
"686","university",4782,26101714,79.37
"687","million",4779,26106493,79.38
"688","moving",4773,26111266,79.4
"689","sister",4759,26116025,79.41
"690","gift",4755,26120780,79.43
"691","size",4746,26125526,79.44
"692","blood",4743,26130269,79.46
"693","amount",4735,26135004,79.47
"694","awesome",4733,26139737,79.49
"695","sent",4716,26144453,79.5
"696","mix",4715,26149168,79.51
"697","cause",4701,26153869,79.53
"698","o",4698,26158567,79.54
"699","article",4693,26163260,79.56
"700","offer",4682,26167942,79.57
"701","taste",4677,26172619,79.59
"702","fast",4663,26177282,79.6
"703","center",4659,26181941,79.61
"704","imagine",4644,26186585,79.63
"705","return",4639,26191224,79.64
"706","eating",4629,26195853,79.66
"707","learning",4624,26200477,79.67
"708","fit",4600,26205077,79.68
"709","land",4596,26209673,79.7
"710","towards",4596,26214269,79.71
"711","race",4592,26218861,79.73
"712","per",4591,26223452,79.74
"713","result",4570,26228022,79.75
"714","research",4567,26232589,79.77
"715","round",4552,26237141,79.78
"716","price",4548,26241689,79.8
"717","lead",4538,26246227,79.81
"718","chicken",4533,26250760,79.82
"719","drive",4533,26255293,79.84
"720","wall",4529,26259822,79.85
"721","current",4527,26264349,79.86
"722","born",4521,26268870,79.88
"723","various",4516,26273386,79.89
"724","interest",4515,26277901,79.91
"725","program",4509,26282410,79.92
"726","clean",4508,26286918,79.93
"727","north",4506,26291424,79.95
"728","rock",4499,26295923,79.96
"729","recent",4498,26300421,79.97
"730","quick",4489,26304910,79.99
"731","evening",4473,26309383,80
"732","figure",4457,26313840,80.02
"733","kitchen",4442,26318282,80.03
"734","plus",4438,26322720,80.04
"735","focus",4436,26327156,80.06
"736","shop",4436,26331592,80.07
"737","natural",4433,26336025,80.08
"738","warm",4433,26340458,80.1
"739","date",4428,26344886,80.11
"740","received",4427,26349313,80.12
"741","court",4417,26353730,80.14
"742","opportunity",4411,26358141,80.15
"743","daily",4410,26362551,80.16
"744","situation",4410,26366961,80.18
"745","spirit",4407,26371368,80.19
"746","common",4392,26375760,80.2
"747","version",4389,26380149,80.22
"748","walking",4375,26384524,80.23
"749","provide",4374,26388898,80.24
"750","scene",4374,26393272,80.26
"751","brother",4368,26397640,80.27
"752","wear",4367,26402007,80.28
"753","bottom",4364,26406371,80.3
"754","beyond",4361,26410732,80.31
"755","similar",4361,26415093,80.32
"756","funny",4352,26419445,80.34
"757","march",4350,26423795,80.35
"758","save",4344,26428139,80.36
"759","minute",4342,26432481,80.38
"760","hate",4336,26436817,80.39
"761","poor",4334,26441151,80.4
"762","reality",4334,26445485,80.42
"763","quality",4325,26449810,80.43
"764","totally",4319,26454129,80.44
"765","cost",4318,26458447,80.45
"766","forget",4314,26462761,80.47
"767","weight",4303,26467064,80.48
"768","allow",4299,26471363,80.49
"769","finish",4292,26475655,80.51
"770","weather",4286,26479941,80.52
"771","coffee",4285,26484226,80.53
"772","link",4274,26488500,80.55
"773","floor",4273,26492773,80.56
"774","include",4257,26497030,80.57
"775","filled",4214,26501244,80.59
"776","begin",4207,26505451,80.6
"777","involved",4204,26509655,80.61
"778","ended",4196,26513851,80.62
"779","growing",4190,26518041,80.64
"780","dream",4187,26522228,80.65
"781","except",4185,26526413,80.66
"782","sorry",4177,26530590,80.67
"783","speak",4170,26534760,80.69
"784","tree",4169,26538929,80.7
"785","garden",4165,26543094,80.71
"786","term",4161,26547255,80.72
"787","review",4156,26551411,80.74
"788","doctor",4153,26555564,80.75
"789","throughout",4151,26559715,80.76
"790","bar",4147,26563862,80.78
"791","comment",4143,26568005,80.79
"792","cute",4134,26572139,80.8
"793","nearly",4110,26576249,80.81
"794","cheese",4107,26580356,80.83
"795","mostly",4099,26584455,80.84
"796","normal",4098,26588553,80.85
"797","consider",4074,26592627,80.86
"798","easily",4073,26596700,80.88
"799","whose",4063,26600763,80.89
"800","telling",4051,26604814,80.9
"801","meeting",4049,26608863,80.91
"802","send",4048,26612911,80.92
"803","interested",4047,26616958,80.94
"804","collection",4021,26620979,80.95
"805","united",4018,26624997,80.96
"806","absolutely",4015,26629012,80.97
"807","record",4013,26633025,80.99
"808","seriously",4007,26637032,81
"809","drink",4003,26641035,81.01
"810","ten",3997,26645032,81.02
"811","album",3996,26649028,81.03
"812","winter",3985,26653013,81.05
"813","de",3984,26656997,81.06
"814","decision",3982,26660979,81.07
"815","shot",3976,26664955,81.08
"816","lunch",3955,26668910,81.09
"817","bag",3951,26672861,81.11
"818","star",3948,26676809,81.12
"819","sign",3941,26680750,81.13
"820","dry",3938,26684688,81.14
"821","meant",3938,26688626,81.15
"822","writer",3935,26692561,81.17
"823","dress",3933,26696494,81.18
"824","language",3919,26700413,81.19
"825","glass",3907,26704320,81.2
"826","report",3904,26708224,81.21
"827","skin",3889,26712113,81.23
"828","apparently",3880,26715993,81.24
"829","butter",3878,26719871,81.25
"830","expect",3877,26723748,81.26
"831","peace",3874,26727622,81.27
"832","creative",3872,26731494,81.29
"833","yeah",3866,26735360,81.3
"834","board",3864,26739224,81.31
"835","shall",3862,26743086,81.32
"836","study",3857,26746943,81.33
"837","trust",3849,26750792,81.34
"838","education",3845,26754637,81.36
"839","mark",3842,26758479,81.37
"840","success",3839,26762318,81.38
"841","bowl",3831,26766149,81.39
